,Date,SiteNumber,latitude,Longitude,Lab_Chla,#img,pix_Y,pix_X
0,2014-07-16,1,50.586139,-105.384833,43.87824845100103,0,684,982
1,2014-08-08,1,50.586139,-105.384833,27.913994204849534,1,684,982
2,2014-08-17,1,50.586139,-105.384833,47.81381153023077,2,684,982
3,2014-09-02,1,50.586139,-105.384833,19.5735817478861,3,684,982
4,2014-09-02,2,50.585203,-105.385823,15.0,3,687,979
5,2014-10-20,2,50.585203,-105.385823,14.0,5,687,979
6,2015-05-23,1,50.586139,-105.384833,3.0334766848901826,8,684,982
7,2015-06-01,1,50.586139,-105.384833,16.973904791121143,9,684,982
8,2015-06-01,4,50.586529999999996,-105.38421000000001,20.47,9,684,983
9,2015-06-01,5,50.57318,-105.34173999999999,13.73,9,732,1083
10,2015-06-01,6,50.6178,-105.44383,33.08,9,566,843
11,2015-06-01,7,50.65615,-105.52058000000001,18.5,9,423,663
12,2015-06-01,8,50.68295,-105.5591,9.84,9,323,573
13,2015-06-01,10,50.71159,-105.58776999999999,14.87,9,217,506
14,2015-06-01,11,50.72074,-105.60694,6.78,9,183,461
15,2015-06-01,13,50.72217,-105.59931,13.57,9,178,479
16,2015-06-01,14,50.734629999999996,-105.62926000000002,7.89,9,131,409
17,2015-06-01,15,50.735690000000005,-105.62638999999999,8.99,9,127,416
18,2015-06-01,16,50.73632,-105.62371,23.59,9,126,423
19,2015-06-08,1,50.586139,-105.384833,20.874764162723523,10,684,982
20,2015-06-08,2,50.585203,-105.385823,34.0,10,687,979
21,2015-06-08,3,50.5975,-105.40799999999999,67.5175,10,643,927
22,2015-06-24,1,50.586139,-105.384833,45.45206987234539,11,684,982
23,2015-07-03,1,50.586139,-105.384833,33.140077022848786,12,684,982
24,2015-07-10,1,50.586139,-105.384833,14.897005981869695,13,684,982
25,2015-07-19,1,50.586139,-105.384833,52.01532513630023,14,684,982
26,2015-07-26,1,50.586139,-105.384833,11.269685674147649,15,684,982
27,2015-08-04,1,50.586139,-105.384833,26.34800013556495,16,684,982
28,2015-08-04,2,50.585203,-105.385823,42.0,16,687,979
29,2015-08-04,3,50.5975,-105.40799999999999,35.345,16,643,927
30,2015-08-11,1,50.586139,-105.384833,26.34800013556495,17,684,982
31,2015-08-20,1,50.586139,-105.384833,67.27258182353205,18,684,982
32,2015-08-27,1,50.586139,-105.384833,52.27804202290353,19,684,982
33,2015-09-12,1,50.586139,-105.384833,25.0437272764311,20,684,982
34,2015-09-28,2,50.585203,-105.385823,23.0,21,687,979
35,2016-05-09,2,50.585203,-105.385823,5.0,27,687,979
36,2016-05-09,3,50.5975,-105.40799999999999,3.23,27,643,927
37,2016-06-10,1,50.586139,-105.384833,7.13895071684217,28,684,982
38,2016-06-10,2,50.585203,-105.385823,11.0,28,687,979
39,2016-07-05,1,50.586139,-105.384833,44.40279385070535,29,684,982
40,2016-07-21,1,50.586139,-105.384833,100.26521758248751,30,684,982
41,2016-07-21,2,50.585203,-105.385823,69.0,30,687,979
42,2016-07-28,1,50.586139,-105.384833,78.34319448395321,31,684,982
43,2016-08-06,1,50.586139,-105.384833,82.03699696967774,32,684,982
44,2016-08-13,1,50.586139,-105.384833,145.57291521644936,33,684,982
45,2016-08-29,1,50.586139,-105.384833,112.70099275845988,34,684,982
46,2016-08-29,2,50.585203,-105.385823,85.0,34,687,979
47,2016-08-29,3,50.5975,-105.40799999999999,56.195,34,643,927
48,2016-09-14,1,50.586139,-105.384833,102.38090639606558,35,684,982
49,2016-09-14,2,50.585203,-105.385823,71.0,35,687,979
50,2017-05-12,1,50.586139,-105.384833,3.5445710097404746,39,684,982
51,2017-05-21,1,50.586139,-105.384833,2.523246065437387,40,684,982
52,2017-05-28,1,50.586139,-105.384833,3.5445710097404746,41,684,982
53,2017-07-15,1,50.586139,-105.384833,20.093947535648933,42,684,982
54,2017-07-24,1,50.586139,-105.384833,27.391896049838206,43,684,982
55,2017-07-24,2,50.585203,-105.385823,38.0,43,687,979
56,2017-07-31,1,50.586139,-105.384833,55.16870600230304,44,684,982
57,2017-07-31,2,50.585203,-105.385823,67.0,44,687,979
58,2017-07-31,3,50.5975,-105.40799999999999,63.6425,44,643,927
59,2017-08-09,1,50.586139,-105.384833,135.75572123683702,45,684,982
60,2017-08-09,5,50.57318,-105.34173999999999,44.02,45,732,1083
61,2017-08-09,6,50.6178,-105.44383,75.03,45,566,843
62,2017-08-09,7,50.65615,-105.52058000000001,50.7,45,423,663
63,2017-08-09,8,50.68295,-105.5591,60.08,45,323,573
64,2017-08-09,10,50.71159,-105.58776999999999,47.86,45,217,506
65,2017-08-09,15,50.735690000000005,-105.62638999999999,2.37,45,127,416
66,2017-08-09,16,50.73632,-105.62371,8.94,45,126,423
67,2017-08-16,1,50.586139,-105.384833,110.05387852656546,46,684,982
68,2017-09-01,1,50.586139,-105.384833,33.140077022848786,47,684,982
69,2018-06-09,1,50.586139,-105.384833,5.595528350578251,50,684,982
70,2018-06-25,1,50.586139,-105.384833,15.935116785219627,51,684,982
71,2018-06-25,2,50.585203,-105.385823,26.0,51,687,979
72,2018-06-25,3,50.5975,-105.40799999999999,24.271925500000002,51,643,927
73,2018-07-02,1,50.586139,-105.384833,62.533447775573045,52,684,982
74,2018-07-27,1,50.586139,-105.384833,33.66316223219309,53,684,982
75,2018-08-03,1,50.586139,-105.384833,34.186328738567795,54,684,982
76,2018-08-03,3,50.5975,-105.40799999999999,27.79339528,54,643,927
77,2018-08-12,1,50.586139,-105.384833,30.52591587316636,55,684,982
78,2018-08-19,1,50.586139,-105.384833,42.56715283571003,56,684,982
79,2019-06-03,1,50.586139,-105.384833,1.5061560084198993,59,684,982
80,2019-07-14,1,50.586139,-105.384833,18.01332930762342,60,684,982
81,2019-07-21,1,50.586139,-105.384833,52.01532513630023,61,684,982
82,2019-08-22,1,50.586139,-105.384833,75.1784609719055,62,684,982
83,2019-09-07,1,50.586139,-105.384833,55.694447630293176,63,684,982
84,2019-09-16,1,50.586139,-105.384833,36.27978387793332,64,684,982
